name,start_year,end_year,league,total_major_divisions,total_minor_divisions,postseason_rounds
1933 NFL Season,1933,1933,NFL,2,0,1
1934 NFL Season,1934,1934,NFL,2,0,1
1935 NFL Season,1935,1935,NFL,2,0,1
1936 NFL Season,1936,1936,NFL,2,0,1
1937 NFL Season,1937,1937,NFL,2,0,1
1938 NFL Season,1938,1938,NFL,2,0,1
1939 NFL Season,1939,1939,NFL,2,0,1
1940 NFL Season,1940,1940,NFL,2,0,1
1941 NFL Season,1941,1941,NFL,2,0,1
1942 NFL Season,1942,1942,NFL,2,0,1
1943 NFL Season,1943,1943,NFL,2,0,1
1944 NFL Season,1944,1944,NFL,2,0,1
1945 NFL Season,1945,1945,NFL,2,0,1
1946 NFL Season,1946,1946,NFL,2,0,1
1947 NFL Season,1947,1947,NFL,2,0,1
1948 NFL Season,1948,1948,NFL,2,0,1
1949 NFL Season,1949,1949,NFL,2,0,1
1950 NFL Season,1950,1950,NFL,2,0,2
1951 NFL Season,1951,1951,NFL,2,0,1
1952 NFL Season,1952,1952,NFL,2,0,2
1953 NFL Season,1953,1953,NFL,2,0,1
1954 NFL Season,1954,1954,NFL,2,0,1
1955 NFL Season,1955,1955,NFL,2,0,1
1956 NFL Season,1956,1956,NFL,2,0,1
1957 NFL Season,1957,1957,NFL,2,0,2
1958 NFL Season,1958,1958,NFL,2,0,1
1959 NFL Season,1959,1959,NFL,2,0,1
1960 NFL Season,1960,1960,NFL,2,0,1
1961 NFL Season,1961,1961,NFL,2,0,1
1962 NFL Season,1962,1962,NFL,2,0,1
1963 NFL Season,1963,1963,NFL,2,0,1
1964 NFL Season,1964,1964,NFL,2,0,1
1965 NFL Season,1965,1965,NFL,2,0,2
1966 NFL Season,1966,1966,NFL,4,0,3
1967 NFL Season,1967,1967,NFL,4,4,3
1968 NFL Season,1968,1968,NFL,4,4,3
1969 NFL Season,1969,1969,NFL,4,4,3
1970 NFL Season,1970,1970,NFL,2,6,3
1971 NFL Season,1971,1971,NFL,2,6,3
1972 NFL Season,1972,1972,NFL,2,6,3
1973 NFL Season,1973,1973,NFL,2,6,3
1974 NFL Season,1974,1974,NFL,2,6,3
1975 NFL Season,1975,1975,NFL,2,6,3
1976 NFL Season,1976,1976,NFL,2,6,3
1977 NFL Season,1977,1977,NFL,2,6,3
1978 NFL Season,1978,1978,NFL,2,6,4
1979 NFL Season,1979,1979,NFL,2,6,4
1980 NFL Season,1980,1980,NFL,2,6,4
1981 NFL Season,1981,1981,NFL,2,6,4
1982 NFL Season,1982,1982,NFL,2,0,4
1983 NFL Season,1983,1983,NFL,2,6,4
1984 NFL Season,1984,1984,NFL,2,6,4
1985 NFL Season,1985,1985,NFL,2,6,4
1986 NFL Season,1986,1986,NFL,2,6,4
1987 NFL Season,1987,1987,NFL,2,6,4
1988 NFL Season,1988,1988,NFL,2,6,4
1989 NFL Season,1989,1989,NFL,2,6,4
1990 NFL Season,1990,1990,NFL,2,6,4
1991 NFL Season,1991,1991,NFL,2,6,4
1992 NFL Season,1992,1992,NFL,2,6,4
1993 NFL Season,1993,1993,NFL,2,6,4
1994 NFL Season,1994,1994,NFL,2,6,4
1995 NFL Season,1995,1995,NFL,2,6,4
1996 NFL Season,1996,1996,NFL,2,6,4
1997 NFL Season,1997,1997,NFL,2,6,4
1998 NFL Season,1998,1998,NFL,2,6,4
1999 NFL Season,1999,1999,NFL,2,6,4
2000 NFL Season,2000,2000,NFL,2,6,4
2001 NFL Season,2001,2001,NFL,2,6,4
2002 NFL Season,2002,2002,NFL,2,8,4
2003 NFL Season,2003,2003,NFL,2,8,4
2004 NFL Season,2004,2004,NFL,2,8,4
2005 NFL Season,2005,2005,NFL,2,8,4
2006 NFL Season,2006,2006,NFL,2,8,4
2007 NFL Season,2007,2007,NFL,2,8,4
2008 NFL Season,2008,2008,NFL,2,8,4
2009 NFL Season,2009,2009,NFL,2,8,4
2010 NFL Season,2010,2010,NFL,2,8,4
2011 NFL Season,2011,2011,NFL,2,8,4
2012 NFL Season,2012,2012,NFL,2,8,4
2013 NFL Season,2013,2013,NFL,2,8,4
2014 NFL Season,2014,2014,NFL,2,8,4
2015 NFL Season,2015,2015,NFL,2,8,4
2016 NFL Season,2016,2016,NFL,2,8,4
2017 NFL Season,2017,2017,NFL,2,8,4
2018 NFL Season,2018,2018,NFL,2,8,4
2019 NFL Season,2019,2019,NFL,2,8,4
2020 NFL Season,2020,2020,NFL,2,8,4
2021 NFL Season,2021,2021,NFL,2,8,4
2022 NFL Season,2022,2022,NFL,2,8,4
