season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1960,Dallas,Dallas Cowboys,NFL,West,,LAST,LAST,,false,,,
1961,Dallas,Dallas Cowboys,NFL,East,,,,,false,,,
1962,Dallas,Dallas Cowboys,NFL,East,,,,,false,,,
1963,Dallas,Dallas Cowboys,NFL,East,,,,,false,,,
1964,Dallas,Dallas Cowboys,NFL,East,,,,,false,,,
1965,Dallas,Dallas Cowboys,NFL,East,,,,,false,,,
1966,Dallas,Dallas Cowboys,NFL,NFL East,,,FIRST,,true,0,false,false
1967,Dallas,Dallas Cowboys,NFL,NFL East,Capitol,,FIRST_TIED,FIRST,true,1,false,false
1968,Dallas,Dallas Cowboys,NFL,NFL East,Capitol,,FIRST,FIRST,true,0,false,false
1969,Dallas,Dallas Cowboys,NFL,NFL East,Capitol,,FIRST,FIRST,true,0,false,false
1970,Dallas,Dallas Cowboys,NFL,NFC,NFC East,,,FIRST,true,2,true,false
1971,Dallas,Dallas Cowboys,NFL,NFC,NFC East,FIRST_TIED,FIRST_TIED,FIRST,true,3,true,true
1972,Dallas,Dallas Cowboys,NFL,NFC,NFC East,,,,true,1,false,false
1973,Dallas,Dallas Cowboys,NFL,NFC,NFC East,,,FIRST_TIED,true,1,false,false
1974,Dallas,Dallas Cowboys,NFL,NFC,NFC East,,,,false,,,
1975,Dallas,Dallas Cowboys,NFL,NFC,NFC East,,,,true,2,true,false
1976,Dallas,Dallas Cowboys,NFL,NFC,NFC East,,,FIRST,true,0,false,false
1977,Dallas,Dallas Cowboys,NFL,NFC,NFC East,FIRST_TIED,FIRST,FIRST,true,3,true,true
1978,Dallas,Dallas Cowboys,NFL,NFC,NFC East,,FIRST_TIED,FIRST,true,2,true,false
1979,Dallas,Dallas Cowboys,NFL,NFC,NFC East,,FIRST_TIED,FIRST_TIED,true,0,false,false
1980,Dallas,Dallas Cowboys,NFL,NFC,NFC East,FIRST_TIED,FIRST_TIED,FIRST_TIED,true,2,false,false
1981,Dallas,Dallas Cowboys,NFL,NFC,NFC East,,,FIRST,true,1,false,false
1982,Dallas,Dallas Cowboys,NFL,NFC,,,,,true,2,false,false
1983,Dallas,Dallas Cowboys,NFL,NFC,NFC East,,,,true,0,false,false
1984,Dallas,Dallas Cowboys,NFL,NFC,NFC East,,,,false,,,
1985,Dallas,Dallas Cowboys,NFL,NFC,NFC East,,,FIRST_TIED,true,0,false,false
1986,Dallas,Dallas Cowboys,NFL,NFC,NFC East,,,,false,,,
1987,Dallas,Dallas Cowboys,NFL,NFC,NFC East,,,,false,,,
1988,Dallas,Dallas Cowboys,NFL,NFC,NFC East,LAST,LAST,LAST,false,,,
1989,Dallas,Dallas Cowboys,NFL,NFC,NFC East,LAST,LAST,LAST,false,,,
1990,Dallas,Dallas Cowboys,NFL,NFC,NFC East,,,,false,,,
1991,Dallas,Dallas Cowboys,NFL,NFC,NFC East,,,,true,1,false,false
1992,Dallas,Dallas Cowboys,NFL,NFC,NFC East,,,FIRST,true,3,true,true
1993,Dallas,Dallas Cowboys,NFL,NFC,NFC East,FIRST_TIED,FIRST,FIRST,true,3,true,true
1994,Dallas,Dallas Cowboys,NFL,NFC,NFC East,,,FIRST,true,1,false,false
1995,Dallas,Dallas Cowboys,NFL,NFC,NFC East,,FIRST,FIRST,true,3,true,true
1996,Dallas,Dallas Cowboys,NFL,NFC,NFC East,,,FIRST_TIED,true,1,false,false
1997,Dallas,Dallas Cowboys,NFL,NFC,NFC East,,,,false,,,
1998,Dallas,Dallas Cowboys,NFL,NFC,NFC East,,,FIRST,true,0,false,false
1999,Dallas,Dallas Cowboys,NFL,NFC,NFC East,,,,true,0,false,false
2000,Dallas,Dallas Cowboys,NFL,NFC,NFC East,,,,false,,,
2001,Dallas,Dallas Cowboys,NFL,NFC,NFC East,,,LAST,false,,,
2002,Dallas,Dallas Cowboys,NFL,NFC,NFC East,,,LAST,false,,,
2003,Dallas,Dallas Cowboys,NFL,NFC,NFC East,,,,true,0,false,false
2004,Dallas,Dallas Cowboys,NFL,NFC,NFC East,,,LAST_TIED,false,,,
2005,Dallas,Dallas Cowboys,NFL,NFC,NFC East,,,,false,,,
2006,Dallas,Dallas Cowboys,NFL,NFC,NFC East,,,,true,0,false,false
2007,Dallas,Dallas Cowboys,NFL,NFC,NFC East,,FIRST_TIED,FIRST,true,0,false,false
2008,Dallas,Dallas Cowboys,NFL,NFC,NFC East,,,,false,,,
2009,Dallas,Dallas Cowboys,NFL,NFC,NFC East,,,FIRST_TIED,true,1,false,false
2010,Dallas,Dallas Cowboys,NFL,NFC,NFC East,,,LAST_TIED,false,,,
2011,Dallas,Dallas Cowboys,NFL,NFC,NFC East,,,,false,,,
2012,Dallas,Dallas Cowboys,NFL,NFC,NFC East,,,,false,,,
2013,Dallas,Dallas Cowboys,NFL,NFC,NFC East,,,,false,,,
2014,Dallas,Dallas Cowboys,NFL,NFC,NFC East,FIRST_TIED,FIRST_TIED,FIRST,true,1,false,false
2015,Dallas,Dallas Cowboys,NFL,NFC,NFC East,,LAST,LAST,false,,,
2016,Dallas,Dallas Cowboys,NFL,NFC,NFC East,,FIRST,FIRST,true,0,false,false
2017,Dallas,Dallas Cowboys,NFL,NFC,NFC East,,,,false,,,
2018,Dallas,Dallas Cowboys,NFL,NFC,NFC East,,,FIRST,true,1,false,false
2019,Dallas,Dallas Cowboys,NFL,NFC,NFC East,,,,false,,,
2020,Dallas,Dallas Cowboys,NFL,NFC,NFC East,,,,false,,,
2021,Dallas,Dallas Cowboys,NFL,NFC,NFC East,,,FIRST,true,0,false,false
2022,Dallas,Dallas Cowboys,NFL,NFC,NFC East,,,,true,1,false,false
2023,Dallas,Dallas Cowboys,NFL,NFC,NFC East,,FIRST_TIED,FIRST,true,0,false,false
2024,Dallas,Dallas Cowboys,NFL,NFC,NFC East,,,,false,,,
